%time,field.header.seq,field.header.stamp,field.header.frame_id,field.d,field.d_ref,field.sigma_d,field.phi,field.phi_ref,field.sigma_phi,field.curvature,field.curvature_ref,field.v_ref,field.status,field.in_lane
1571197779624527221,25497,1571197775134635925,,0.0,0.0,0.0,-0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197779624641284,25498,1571197775234968900,,-0.0399999991059,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779624942482,25499,1571197775303014993,,-0.019999999553,0.0,0.0,-0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779625390659,25500,1571197775406676054,,-0.0399999991059,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779628783419,25501,1571197775509629011,,-0.0399999991059,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779633854096,25502,1571197775568295001,,-0.0399999991059,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779636889565,25503,1571197775700807094,,-0.0399999991059,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779637068836,25504,1571197775769326925,,-0.019999999553,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779638015294,25505,1571197775871227025,,-0.019999999553,0.0,0.0,-0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779665839096,25506,1571197775972311973,,-0.019999999553,0.0,0.0,-0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779666244044,25507,1571197776068233013,,-0.019999999553,0.0,0.0,-0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779666709513,25508,1571197776139033079,,0.0,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197779667229200,25509,1571197776203075885,,-0.019999999553,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779668148419,25510,1571197776270265102,,-0.019999999553,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779668503836,25511,1571197776338221073,,-0.0599999986589,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197779670179356,25512,1571197776407634019,,-0.0399999991059,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779670678211,25513,1571197776502724885,,-0.0599999986589,0.0,0.0,0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197779670879877,25514,1571197776570786952,,-0.0599999986589,0.0,0.0,0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197779671177221,25515,1571197776669816017,,-0.0399999991059,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197779673281075,25516,1571197776771328926,,0.0,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779674337429,25517,1571197776870203971,,-0.019999999553,0.0,0.0,0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197779674710659,25518,1571197776939059019,,-0.019999999553,0.0,0.0,0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197779674831492,25519,1571197777035571098,,0.0799999982119,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779675488002,25520,1571197777142599105,,0.0799999982119,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779675810242,25521,1571197777244888067,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779676468784,25522,1571197777302594900,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197779676879825,25523,1571197777464685916,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197779677902117,25524,1571197777509857892,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197779678781388,25525,1571197777635562896,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197779678806336,25526,1571197777701116085,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197779678826127,25527,1571197777779047012,,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197779678883731,25528,1571197777866812944,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779678907586,25529,1571197777935602903,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779678993679,25530,1571197778002263069,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779679043419,25531,1571197778069161891,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779679128054,25532,1571197778172667026,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779679188211,25533,1571197778273328065,,0.0,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197779679598002,25534,1571197778402554988,,0.019999999553,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779679658992,25535,1571197778504106044,,0.019999999553,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779680835502,25536,1571197778570616960,,0.019999999553,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779680852950,25537,1571197778669806003,,0.0,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197779680874304,25538,1571197778769819021,,0.0799999982119,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197779680932690,25539,1571197778873954057,,0.0799999982119,0.0,0.0,-0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197779681357898,25540,1571197779034360885,,0.119999997318,0.0,0.0,-1.04999995232,0.0,0.0,0.0,0.0,0.0,0,1
1571197779681443002,25541,1571197779207442998,,0.10000000149,0.0,0.0,-1.04999995232,0.0,0.0,0.0,0.0,0.0,0,1
1571197779681786700,25542,1571197779271379947,,0.0599999986589,0.0,0.0,-0.75,0.0,0.0,0.0,0.0,0.0,0,1
1571197779681849877,25543,1571197779334306955,,0.0399999991059,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197779762243159,25544,1571197779438914060,,0.0399999991059,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197779807252169,25545,1571197779531913042,,0.0399999991059,0.0,0.0,-0.649999976158,0.0,0.0,0.0,0.0,0.0,0,1
1571197779875416700,25546,1571197779602252960,,0.0599999986589,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197779953785242,25547,1571197779666183948,,0.0399999991059,0.0,0.0,-1.04999995232,0.0,0.0,0.0,0.0,0.0,0,1
1571197780123754721,25548,1571197779799798965,,0.0599999986589,0.0,0.0,-1.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197780247635294,25549,1571197779903842926,,0.0399999991059,0.0,0.0,-1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197780318065450,25550,1571197779999790906,,0.0399999991059,0.0,0.0,-1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197780375766804,25551,1571197780061578989,,0.0399999991059,0.0,0.0,-1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197780415201856,25552,1571197780149843931,,0.0399999991059,0.0,0.0,-1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197780489745085,25553,1571197780238795995,,0.019999999553,0.0,0.0,-1.04999995232,0.0,0.0,0.0,0.0,0.0,0,1
1571197780575752637,25554,1571197780334439992,,0.019999999553,0.0,0.0,-1.04999995232,0.0,0.0,0.0,0.0,0.0,0,1
1571197780681108523,25555,1571197780438206911,,0.019999999553,0.0,0.0,-0.949999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197780784870554,25556,1571197780503029108,,0.019999999553,0.0,0.0,-0.949999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197780889590294,25557,1571197780565606117,,0.019999999553,0.0,0.0,-0.949999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197780941590241,25558,1571197780699017047,,0.019999999553,0.0,0.0,-0.949999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197781009010658,25559,1571197780799943923,,0.019999999553,0.0,0.0,-0.949999988079,0.0,0.0,0.0,0.0,0.0,0,1
